,year_produce,brand,model,car_type,gear_type,engine_cap,year_extracted,mileage,old_price
2830,2014,Perodua,Myvi,New,Automatic,1.3,2018,0,48424
2831,2014,Perodua,Myvi,New,Automatic,1.3,2018,0,46924
2832,2014,Perodua,Myvi,New,Automatic,1.3,2018,0,48424
2833,2014,Perodua,Myvi,New,Automatic,1.3,2018,0,48424
2834,2014,Perodua,Myvi,New,Automatic,1.3,2018,0,48424
2835,2014,Perodua,Myvi,New,Automatic,1.3,2018,0,48424
2836,2014,Perodua,Myvi,New,Automatic,1.3,2018,0,47424
2837,2014,Perodua,Myvi,New,Automatic,1.3,2018,0,46924
2838,2014,Perodua,Myvi,New,Automatic,1.3,2018,0,48424
2839,2014,Perodua,Myvi,New,Automatic,1.3,2018,0,48424
2840,2014,Perodua,Myvi,New,Automatic,1.3,2018,0,48424
2841,2014,Perodua,Myvi,New,Automatic,1.3,2018,0,48424
2842,2014,Perodua,Myvi,New,Automatic,1.3,2018,0,46924
2843,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44200
2844,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2845,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2846,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2847,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2848,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2849,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2850,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2851,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2852,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2853,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2854,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2855,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2856,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2857,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2858,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2859,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2860,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2861,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2862,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
2863,2014,Perodua,Myvi,New,Manual,1.3,2018,0,44936
