,year_produce,brand,model,car_type,gear_type,engine_cap,year_extracted,mileage,old_price
96,2016,Nissan,X-Trail,used,Automatic,2.5,2023,102500,43800
97,2016,Toyota,Camry,used,Automatic,2,2023,82500,91800
98,2016,Kia,Cerato,used,Automatic,1.6,2023,132500,27800
99,2016,Mazda,6,used,Automatic,2,2023,137500,38800
100,2016,Honda,City,used,Automatic,1.5,2023,117500,38800
101,2016,BMW,328i,used,Automatic,2,2023,127500,69888
102,2016,BMW,X6,used,Automatic,3,2023,72500,84888
103,2016,Honda,Accord,used,Automatic,2.4,2023,127500,49800
104,2016,Mazda,6,used,Automatic,2.5,2023,97500,45800
105,2016,Toyota,Harrier,used,Automatic,2,2023,92500,99888
106,2016,Mazda,6,used,Automatic,2.5,2023,107500,110800
107,2016,Volkswagen,Tiguan,used,Automatic,1.4,2023,62500,135800
108,2013,Mercedes,CLA250,used,Automatic,2,2023,92500,91800
109,2013,Mercedes,C180,used,Automatic,1.6,2023,67500,155800
110,2013,BMW,330e,used,Automatic,2,2023,137500,78800
111,2013,Mercedes,E250,used,Automatic,2,2023,102500,175800
112,2013,BMW,X1,used,Automatic,2,2023,67500,125800
113,2017,Toyota,Alphard,used,Automatic,2.5,2023,72500,196800
114,2015,Toyota,Alphard,used,Automatic,2.5,2023,97500,186800
117,2019,Toyota,Land Cruiser,used,Automatic,3.3,2023,7500,588000
118,2019,Toyota,Harrier,used,Automatic,2,2023,27500,198000
119,2019,Toyota,Vellfire,used,Automatic,2.5,2023,27500,236000
120,2019,Toyota,Vellfire,used,Automatic,3.5,2023,42500,308000
121,2019,Mazda,CX-5,used,Automatic,2,2023,127500,41800
122,2019,BMW,X3,used,Automatic,2,2023,82500,75888
123,2016,Mercedes,A180,used,Automatic,1.6,2023,72500,99888
124,2013,Mitsubishi,Triton,used,Automatic,2.5,2023,142500,44800
125,2013,Mercedes,GLA200,used,Automatic,1.6,2023,87500,136800
126,2013,Mercedes,C180,used,Automatic,1.6,2023,92500,115900
127,2013,Nissan,X-Trail,used,Automatic,2.5,2023,92500,42999
128,2014,Kia,Rio,used,Automatic,1.4,2023,77500,22999
129,2014,BMW,528i,used,Automatic,2,2023,107500,65800
131,2018,Mercedes,C43 AMG,used,Automatic,3,2023,42500,213800
132,2018,BMW,428i,used,Automatic,2,2023,47500,135800
134,2018,Mazda,CX-5,used,Automatic,2,2023,107500,105800
135,2018,Mercedes,A200,used,Automatic,1.6,2023,77500,101800
136,2018,BMW,330e,used,Automatic,2,2023,92500,93800
137,2018,Toyota,Innova,used,Automatic,2,2023,97500,71800
138,2018,BMW,330e,used,Automatic,2,2023,112500,73800
139,2018,Mercedes,C350 e,used,Automatic,2,2023,137500,110800
140,2018,Hyundai,Grand Starex,used,Automatic,2.5,2023,127500,66800
142,2018,Toyota,Camry,used,Automatic,2.5,2023,112500,76800
143,2018,BMW,520i,used,Automatic,2,2023,132500,73800
144,2018,Honda,City,used,Automatic,1.5,2023,52500,56800
145,2018,Honda,Civic,used,Automatic,1.8,2023,92500,76800
146,2018,Honda,HR-V,used,Automatic,1.8,2023,97500,50800
147,2018,Mazda,CX-5,used,Automatic,2.5,2023,82500,65800
148,2018,Honda,CR-V,used,Automatic,2,2023,92500,63800
149,2019,Mercedes,GLA200,used,Automatic,1.6,2023,62500,137999
150,2016,Mercedes,CLA250,used,Automatic,2,2023,82500,122999
152,2016,Mercedes,C300,used,Automatic,2,2023,72500,169999
153,2016,Audi,Q5,used,Automatic,2,2023,112500,50800
154,2016,Mercedes,C300,used,Automatic,2,2023,92500,135900
155,2016,Mitsubishi,Triton,used,Automatic,2.4,2023,82500,76800
156,2016,Peugeot,3008,used,Automatic,1.6,2023,77500,25800
157,2016,MINI,Countryman,used,Automatic,1.6,2023,112500,67800
158,2016,Toyota,Rush,used,Automatic,1.5,2023,107500,29800
