,year_produce,brand,model,car_type,gear_type,engine_cap,mileage,old_price
1668,2021,Proton,Persona,Used,Automatic,1.6,47499.5,32770.0
1669,2019,Honda,Hr-V,Used,Automatic,1.8,72499.5,67770.0
1670,2015,Toyota,Vios,Used,Automatic,1.5,72499.5,36770.0
1671,2016,Mitsubishi,Triton,Used,Automatic,2.4,92499.5,51770.0
1672,2018,Honda,Hr-V,Used,Automatic,1.8,77499.5,57770.0
1673,2016,Honda,Accord,Used,Automatic,2.0,57499.5,60770.0
1674,2016,Toyota,Hilux,Used,Automatic,2.8,87499.5,78770.0
1675,2019,Proton,X70,Used,Automatic,1.8,72499.5,50800.0
1676,2020,Mitsubishi,Triton,Used,Automatic,2.4,114999.5,82900.0
1677,2018,Perodua,Myvi,Used,Automatic,1.5,52499.5,46000.0
1678,2014,Honda,City,Used,Automatic,1.5,72499.5,41875.0
1679,2015,Perodua,Myvi,Used,Automatic,1.3,2499.5,30800.0
1680,2024,Proton,Saga,Used,Automatic,1.3,7499.5,30888.0
1681,2018,Mazda,Cx-5,Used,Automatic,2.2,72499.5,64888.0
1682,2019,Proton,Persona,Used,Automatic,1.6,87499.5,26888.0
1683,2018,Mercedes,Benz,Used,Automatic,2.0,67499.5,151888.0
1684,2020,Honda,Civic,Used,Automatic,1.5,104999.5,92800.0
1685,2013,Nissan,Almera,Used,Automatic,1.5,77499.5,16900.0
1686,2017,Bmw,520I,Used,Automatic,2.0,97499.5,79900.0
1687,2018,Land,Rover,Used,Automatic,5.0,62499.5,368000.0
1688,2018,Bmw,X1,Used,Automatic,2.0,62499.5,71800.0
1689,2020,Perodua,Aruz,Used,Automatic,1.5,52499.5,45800.0
1690,2014,Toyota,Vios,Used,Automatic,1.5,92499.5,30800.0
1691,2023,PERODUA,Axia,Used,Automatic,1.0,37499.5,39000.0
1692,2022,Proton,X70,Used,Automatic,1.8,42499.5,63800.0
1693,2018,Perodua,Alza,Used,Automatic,1.5,77499.5,38780.0
1694,2015,Isuzu,D-Max,Used,Automatic,2.5,104999.5,39800.0
1695,2019,Proton,Persona,Used,Automatic,1.6,62499.5,29780.0
1696,2014,Toyota,Vios,Used,Automatic,1.5,82499.5,36800.0
1697,2013,13/18,Toyota,Used,Automatic,2.4,124999.5,73900.0
1698,2021,Perodua,Myvi,Used,Automatic,1.5,52499.5,45900.0
1699,2016,Proton,Saga,Used,Automatic,1.3,67499.5,16780.0
1700,2016,Mazda,Cx-5,Used,Automatic,2.0,72499.5,53780.0
1701,2019,Toyota,Vios,Used,Automatic,1.5,77499.5,51800.0
1702,2016,M.Benz,E250,Used,Automatic,2.0,67499.5,86900.0
1703,2020,Bmw,G20,Used,Automatic,2.0,87499.5,167900.0
1704,2012,Honda,City,Used,Automatic,1.5,97499.5,24900.0
1705,2003,/04,Honda,Used,Automatic,2.0,144999.5,9700.0
1706,2024,Bmw,218I,Used,Automatic,1.5,7499.5,166800.0
1707,2009,Nissan,Serena,Used,Automatic,2.0,154999.5,19700.0
1708,2012,Isuzu,D-Max,Used,Automatic,3.0,124999.5,17800.0
1709,2013,Peugeot,508,Used,Automatic,1.6,164999.5,11900.0
1710,2024,Proton,Saga,New,Automatic,1.3,2499.5,42000.0
1711,2024,Proton,X90,New,Automatic,1.5,2499.5,129000.0
1712,2022,Honda,City,Used,Automatic,1.5,42499.5,71770.0
1713,2016,Honda,Civic,Used,Automatic,1.5,92499.5,66770.0
1714,2019,Honda,Hr-V,Used,Automatic,1.8,77499.5,67770.0
1715,2017,Toyota,Vios,Used,Automatic,1.5,87499.5,42770.0
1716,2017,Bmw,530I,Used,Automatic,2.0,87499.5,114800.0
1717,2015,Kia,Rio,Used,Automatic,1.4,124999.5,24800.0
1718,2016,Nissan,Grand,Used,Automatic,1.8,87499.5,37800.0
1719,2018,Honda,Civic,Used,Automatic,1.5,114999.5,72800.0
1720,2009,Mercedes,Benz,Used,Automatic,1.8,2499.5,66800.0
1721,2021,Toyota,Hilux,Used,Automatic,2.4,67499.5,90000.0
1722,2018,Toyota,Hilux,Used,Automatic,2.4,144999.5,78900.0
1723,2012,Blacklist,Loan,Used,Automatic,2.0,97499.5,13800.0
1724,2016,Toyota,Camry,Used,Automatic,2.5,52499.5,63888.0
1725,2008,Toyota,Innova,Used,Automatic,2.0,164999.5,20600.0
1726,2014,Mercedes-Benz,A180,Used,Automatic,1.6,92499.5,59888.0
1727,2014,Mercedes-Benz,E250,Used,Automatic,2.0,82499.5,65800.0
1728,2011,Blacklist,Loan,Used,Automatic,1.5,97499.5,15800.0
1729,2021,Mercedes,Benz,Recon,Automatic,2.0,42499.5,0.0
1730,2015,Honda,Hr-V,Used,Automatic,1.8,104999.5,0.0
1731,2019,Toyota,Alphard,Recon,Automatic,2.5,17499.5,0.0
1732,2021,Toyota,Alphard,Recon,Automatic,2.5,22499.5,0.0
1733,2010,Blacklist,Loan,Used,Automatic,2.0,104999.5,20800.0
1734,2010,Blacklist,Loan,Used,Automatic,2.0,104999.5,23800.0
1735,2014,Perodua,Myvi,Used,Automatic,1.5,62499.5,0.0
1736,2017,{2017},Toyota,Used,Automatic,2.0,57499.5,68999.0
1737,2017,Ford,Ranger,Used,Automatic,2.2,77499.5,59800.0
1738,2015,Mercedes,Benz,Used,Automatic,2.0,97499.5,83800.0
1739,2018,Honda,Civic,Used,Automatic,1.5,67499.5,79800.0
1740,2016,Bmw,320I,Used,Automatic,2.0,97499.5,76800.0
1741,2019,Ford,Ranger,Used,Automatic,2.0,62499.5,78800.0
1742,2019,Honda,City,Used,Automatic,1.5,57499.5,53800.0
1743,2019,Honda,Hr-V,Used,Automatic,1.8,77499.5,67770.0
1744,2021,Mazda,Cx-30,Used,Automatic,2.0,37499.5,103770.0
1745,2015,Ford,Ranger,Used,Automatic,3.2,92499.5,46770.0
1746,2017,Nissan,Navara,Used,Automatic,2.5,82499.5,52770.0
1747,2017,{2017},Honda,Used,Automatic,2.0,72499.5,66999.0
1748,2017,Perodua,Myvi,Used,Automatic,1.5,82499.5,32800.0
1749,2018,Honda,Hr-V,Used,Automatic,1.8,72499.5,45800.0
1750,2019,Lexus,Nx,Used,Automatic,2.0,42499.5,168800.0
1751,2020,PROTON,X70,Used,Automatic,1.8,67499.5,61700.0
1752,2016,TOYOTA,Camry,Used,Automatic,2.5,97499.5,57700.0
1753,2013,TOYOTA,Vios,Used,Automatic,1.5,134999.5,34700.0
1754,2018,PERODUA,Myvi,Used,Automatic,1.3,82499.5,34700.0
1755,2016,NISSAN,Serena,Used,Automatic,2.0,104999.5,47700.0
1756,2016,Nissan,X-Trail,Used,Automatic,2.0,67499.5,42700.0
1757,2017,17,Bmw,Used,Automatic,2.0,92499.5,99900.0
1758,2013,Subaru,Xv,Used,Automatic,2.0,82499.5,24900.0
1759,2018,Bmw,X5,Used,Automatic,2.0,97499.5,84900.0
1760,2013,Toyota,Vios,Used,Automatic,1.5,104999.5,31888.0
1761,2012,Mercedes,Benz,Used,Automatic,1.8,114999.5,32000.0
1762,2011,Perodua,Myvi,Used,Automatic,1.3,124999.5,13888.0
1763,2019,Honda,City,Used,Automatic,1.5,134999.5,53800.0
1764,2017,Mercedes,Benz,Used,Automatic,2.0,52499.5,109800.0
1765,2008,Toyota,Vios,Used,Automatic,1.5,224999.5,34499.0
1766,2018,Honda,City,Used,Automatic,1.5,92499.5,56800.0
