,year_produce,brand,model,car_type,gear_type,engine_cap,mileage,old_price
1451,2019,Honda,Br-V,Used,Automatic,1497,67499.5,43900
1452,2019,Volvo,S90,Used,Automatic,1969,87499.5,109800
1453,2022,Proton,Persona,Used,Automatic,1597,57499.5,33800
1454,2016,Toyota,Sienta,Used,Automatic,1496,87499.5,40800
1455,2018,Honda,Jazz,Used,Automatic,1497,97499.5,48800
1456,2015,Mercedes,Benz,Used,Automatic,1991,144999.5,75800
1457,2016,Honda,Accord,Used,Automatic,2356,97499.5,65800
1458,2006,Perodua,Myvi,Used,Automatic,1298,324999.5,12000
1459,2020,Perodua,Myvi,Used,Automatic,1496,32499.5,0
1460,2017,Perodua,Myvi,Used,Automatic,1495,134999.5,0
1461,2013,Perodua,Myvi,Used,Automatic,1495,124999.5,0
1462,2019,Honda,Accord,Used,Automatic,1997,47499.5,79780
1463,2016,Perodua,Alza,Used,Automatic,1495,134999.5,33780
1464,2019,Mazda,Cx-5,Used,Automatic,1998,52499.5,86780
1465,2017,Toyota,Hilux,Used,Automatic,2755,114999.5,75780
1466,2018,Volkswagen,Tiguan,Used,Automatic,1395,77499.5,68999
1467,2019,Volkswagen,Golf,Used,Automatic,1395,67499.5,102999
1468,2015,Blacklist,Loan,Used,Automatic,1332,87499.5,13800
1469,2013,Blacklist,Loan,Used,Automatic,1298,92499.5,14800
1470,2012,Blacklist,Loan,Used,Automatic,1997,97499.5,17800
1471,2013,Blacklist,Loan,Used,Automatic,1495,97499.5,24800
1472,2017,Blacklist,Loan,Used,Automatic,1597,62499.5,18800
1473,2021,Honda,Civic,Used,Automatic,1498,62499.5,0
1474,2020,Honda,City,Used,Automatic,1497,77499.5,0
1475,2014,Blacklist,Loan,Used,Automatic,1332,87499.5,7800
1476,2018,Blacklist,Loan,Used,Automatic,1332,77499.5,15800
1477,2021,/2023,Mercedes,Recon,Automatic,1991,32499.5,0
1478,2007,Perodua,Myvi,Used,Automatic,1298,72499.5,11999
1479,2015,Honda,Civic,Used,Automatic,1798,97499.5,44999
1480,2016,Perodua,Alza,Used,Automatic,1495,114999.5,36999
1481,2017,Perodua,Myvi,Used,Automatic,1298,72499.5,36999
1482,2015,Audi,Q5,Used,Automatic,1984,82499.5,51888
1483,2015,Toyota,Vios,Used,Automatic,1497,124999.5,34888
1484,2018,Honda,Accord,Used,Automatic,2356,87499.5,77600
1485,2014,Mercedes,Benz,Used,Automatic,1595,77499.5,65888
1486,2024,CNY,Crazy,New,Automatic,1477,2499.5,114800
1487,2025,CNY,Cash,New,Automatic,1477,2499.5,89300
1488,2025,,Crazy,New,Automatic,1477,2499.5,74800
1489,2025,CRAZY,Cny,New,Automatic,1477,2499.5,102300
1490,2021,Toyota,Corolla,Used,Automatic,1798,12499.5,95770
1491,2021,Perodua,Myvi,Used,Automatic,1496,62499.5,42770
1492,2021,Honda,City,Used,Automatic,1498,47499.5,63770
1493,2019,Bmw,330E,Used,Automatic,1998,57499.5,86800
1494,2021,Perodua,Axia,Used,Automatic,998,37499.5,29800
1495,2019,Honda,Civic,Used,Automatic,1799,57499.5,74800
1496,2018,Honda,Civic,Used,Automatic,1498,67499.5,74800
1497,2016,Bmw,320I,Used,Automatic,1998,87499.5,76800
1498,2020,Bmw,530E,Used,Automatic,1998,77499.5,129800
1499,2023,Honda,City,Used,Automatic,1498,17499.5,65770
1500,2018,Volkswagen,Passat,Used,Automatic,1798,72499.5,63800
1501,2016,Perodua,Axia,Used,Automatic,998,104999.5,21800
1502,2022,Nissan,Serena,Used,Automatic,1997,17499.5,120000
1503,2022,Mazda,Cx-5,Used,Automatic,2488,57499.5,122999
1504,2022,Mazda,Cx-5,Used,Automatic,1998,52499.5,116999
1505,2017,Bmw,X1,Used,Automatic,1998,92499.5,64800
1506,2019,Perodua,Myvi,Used,Automatic,1496,82499.5,36800
1507,2016,BMW,X1,Used,Automatic,1998,114999.5,58700
1508,2015,MERCEDES,Benz,Used,Automatic,1991,92499.5,83700
1509,2013,Proton,Preve,Used,Automatic,1597,104999.5,14700
1510,2014,TOYOTA,Camry,Used,Automatic,2494,104999.5,47700
1511,2019,PERODUA,Bezza,Used,Automatic,1329,72499.5,28700
1512,2015,REG,2020,Used,Automatic,2493,97499.5,129999
1513,2009,Toyota,Landcruiser,Used,Automatic,4461,77499.5,159900
1514,2014,Toyota,Camry,Used,Automatic,1998,92499.5,49900
1515,2019,Mercedes,Benz,Used,Automatic,1991,92499.5,169900
1516,2017,17,Mercedes,Used,Automatic,1991,82499.5,98900
1517,2016,Honda,Accord,Used,Automatic,1997,104999.5,58800
1518,2020,Toyota,C-Hr,Used,Automatic,1798,62499.5,88800
1519,2012,Toyota,Hilux,Used,Automatic,2494,174999.5,47999
1520,2019,Mercedes,Benz,Used,Automatic,1991,124999.5,154800
1521,2019,Mitsubishi,Triton,Used,Automatic,2442,92499.5,69800
1522,2024,Jaecoo,J7,New,Automatic,1598,2499.5,138250
1523,2021,Value,For,Recon,Automatic,1986,27499.5,152000
1524,2014,Mercedes,Benz,Used,Automatic,1991,92499.5,69800
1525,2020,Toyota,Hilux,Used,Automatic,2393,82499.5,96999
1526,2015,Toyota,Corolla,Used,Automatic,1798,42499.5,43000
1527,2014,Perodua,Alza,Used,Automatic,1495,97499.5,33800
1528,2019,Perodua,Myvi,Used,Automatic,1496,57499.5,41800
1529,2015,Bmw,320I,Used,Automatic,1998,87499.5,59800
1530,2011,Toyota,Vios,Used,Automatic,1497,124999.5,28800
1531,2015,Toyota,Vios,Used,Automatic,1497,77499.5,39800
1532,2022,Lexus,Nx,Recon,Automatic,2487,12499.5,279000
1533,2019,ORI19,Mazda,Used,Automatic,1496,47499.5,49999
1534,2020,Toyota,Alphard,Recon,Automatic,2493,27499.5,189000
1535,2020,Toyota,Harrier,Recon,Automatic,1986,57499.5,150000
1536,2020,Toyota,Corolla,Recon,Automatic,1196,7499.5,128000
1537,2022,Nissan,Fairlady,Recon,Automatic,3000,2499.5,354000
1538,2020,43k,Km,Used,Automatic,1998,42499.5,219999
1539,2017,68k,Km,Used,Automatic,1998,67499.5,64999
1540,2017,Honda,Civic,Used,Automatic,1498,72499.5,83799
1541,2018,Honda,City,Used,Automatic,1497,62499.5,56799
1542,2016,Toyota,Vellfire,Used,Automatic,2493,67499.5,155555
1543,2016,FULL,Loan,Used,Automatic,1497,114999.5,39999
1544,2020,Toyota,Alphard,Recon,Automatic,2493,32499.5,203800
1545,2013,Kia,Picanto,Used,Automatic,1248,82499.5,14800
1546,2011,Mercedes,Benz,Used,Automatic,1796,114999.5,43800
1547,2019,Mercedes,Benz,Used,Automatic,1991,57499.5,169800
1548,2016,MazdaCX-5,2,Used,Automatic,1998,104999.5,49800
1549,2014,Mercedes,Benz,Used,Automatic,1991,114999.5,72800
1550,2017,Mercedes,Benz,Used,Automatic,1991,2499.5,96600
1551,2020,Mercedes,Benz,Recon,Automatic,1991,32499.5,150000
1552,2022,Mercedes,Benz,Used,Automatic,1991,2499.5,196500
1553,2023,Mercedes,Benz,Used,Automatic,1991,37499.5,218500
1554,2013,Mitsubishi,Triton,Used,Automatic,2477,97499.5,35900
1555,2011,Mini,Cooper,Used,Automatic,1598,97499.5,43800
1556,2015,Hyundai,Santa,Used,Automatic,2199,134999.5,42800
1557,2014,Perodua,Alza,Used,Automatic,1495,87499.5,26800
1558,2018,Toyota,Vellfire,Used,Automatic,2493,42499.5,189800
1559,2013,Toyota,Alphard,Used,Automatic,2362,87499.5,89800
1560,2018,Honda,Jazz,Used,Automatic,1497,87499.5,49800
1561,2005,Toyota,Vios,Used,Automatic,1497,97499.5,12800
1562,2017,Toyota,Sienta,Used,Automatic,1496,72499.5,54500
1563,2014,Mercedes,Benz,Used,Automatic,1991,97499.5,62800
1564,2015,ORI15,Toyota,Used,Automatic,1497,82499.5,42888
1565,2018,Toyota,Innova,Used,Automatic,1998,82499.5,73800
1566,2015,Toyota,Vellfire,Used,Automatic,2493,77499.5,129800
1567,2016,Honda,Hr-V,Used,Automatic,1799,134999.5,47999
1568,2012,ORI12,Nissan,Used,Automatic,2496,97499.5,20888
1569,2020,Mini,Cooper,Recon,Automatic,1498,7499.5,122800
1570,2017,ORI2017,Volkswagen,Used,Automatic,1798,57499.5,47888
1571,2020,JBL+fully,Loaded,Recon,Automatic,2493,32499.5,242000
1572,2022,MINI,Suv,Recon,Automatic,1460,17499.5,143000
1573,2021,Toyota,Landcruiser,Recon,Automatic,2754,37499.5,269999
1574,2015,Lexus,Es250,Used,Automatic,2494,97499.5,79800
1575,2023,Toyota,Alphard,Recon,Automatic,2493,7499.5,337000
1576,2023,Lexus,Rx350,Recon,Automatic,2393,7499.5,378000
1577,2020,Toyota,Harrier,Recon,Automatic,1998,32499.5,148000
1578,2019,PROTON,X70,Used,Automatic,1799,77499.5,53800
1579,2018,Nissan,Navara,Used,Automatic,2488,97499.5,66800
1580,2019,Mercedes,Benz,Recon,Automatic,1497,22499.5,160000
1581,2019,Mercedes,Benz,Recon,Automatic,2996,32499.5,301000
1582,2012,Toyota,Vellfire,Used,Automatic,2362,97499.5,63800
1583,2010,Toyota,Vellfire,Used,Automatic,2362,104999.5,65800
1584,2024,Mitsubishi,Xpander,New,Automatic,1499,2499.5,99980
1585,2015,Toyota,Corolla,Used,Automatic,1798,124999.5,44800
1586,2017,Nissan,X-Trail,Used,Automatic,2488,72499.5,49800
1587,2016,Honda,Hr-V,Used,Automatic,1799,134999.5,49800
1588,2021,Perodua,Myvi,Used,Automatic,1496,67499.5,45800
1589,2020,Bmw,330I,Used,Automatic,1998,62499.5,167800
1590,2014,Toyota,Fortuner,Used,Automatic,2494,134999.5,83999
1591,2021,SUNROOF,2021,Recon,Automatic,2493,57499.5,226700
1592,2018,FULL,Loan,Used,Automatic,1799,134999.5,62999
1593,2019,Mitsubishi,Outlander,Used,Automatic,2360,72499.5,79999
1594,2018,Subaru,Xv,Used,Automatic,1995,72499.5,52999
1595,2017,Toyota,Wish,Used,Automatic,1797,67499.5,73999
1596,2016,Subaru,Forester,Used,Automatic,1995,92499.5,39999
