,year_produce,brand,model,car_type,gear_type,engine_cap,mileage,old_price
282,2019,Proton,X70,used,Automatic,1.8,87500.0,63800.0
283,2020,nan,,used,Automatic,2.8,17500.0,298000.0
284,2018/2019,Mazda,CX-3,used,Automatic,2.0,52500.0,82999.0
285,2018/2022,MINI,3 Door,used,Automatic,2.0,37500.0,149999.0
286,2019,Honda,Jazz,used,Automatic,1.5,32500.0,62999.0
287,2020,Honda,Civic,used,Automatic,1.8,27500.0,92999.0
288,2016,Nissan,Almera,used,Automatic,1.5,97500.0,29999.0
289,2015/2020,Lexus,IS250,used,Automatic,2.5,82500.0,139999.0
290,2014,Perodua,Alza,used,Automatic,1.5,92500.0,33800.0
291,2013,Proton,Preve,used,Automatic,1.6,132500.0,18800.0
292,2015,Honda,Accord,used,Automatic,2.4,117500.0,57800.0
293,2017,Honda,City,used,Automatic,1.5,72500.0,51800.0
294,2013,Proton,Saga,used,Automatic,1.3,117500.0,14300.0
295,2019,BMW,X1,used,Automatic,2.0,32500.0,115000.0
296,2019,BMW,530i,used,Automatic,2.0,57500.0,190000.0
297,2019,Volkswagen,Tiguan,used,Automatic,1.4,67500.0,89800.0
298,2022,Toyota,Alphard,used,Automatic,2.5,27500.0,238500.0
299,2013,Kia,Cerato,used,Automatic,1.6,142500.0,25800.0
300,2013,Mazda,6,used,Automatic,2.5,127500.0,42800.0
301,2013,Volkswagen,Beetle,used,Automatic,1.2,127500.0,45800.0
302,2013,Volkswagen,Beetle,used,Automatic,1.2,127500.0,44800.0
303,2017,Mercedes-Benz,C200,used,Automatic,2.0,57500.0,133000.0
304,2019,Haval,H2,used,Automatic,1.5,52500.0,45800.0
305,2017,Land,Rover Range Rover Sport,used,Automatic,5.0,42500.0,499999.0
306,2015,Mercedes-Benz,GLA200,used,Automatic,1.6,82500.0,79800.0
307,2017/2019,Lexus,RX200t,used,Automatic,2.0,67500.0,219999.0
308,2021,Ford,MUSTANG,used,Automatic,2.3,37500.0,278000.0
309,2015,Toyota,Vellfire,used,Automatic,2.5,137500.0,155800.0
310,2017,Toyota,Camry,used,Automatic,2.5,87500.0,79800.0
311,2020,Volkswagen,Tiguan,used,Automatic,1.4,67500.0,85800.0
312,2013,Kia,Cerato,used,Automatic,2.0,127500.0,28800.0
313,2014,Mercedes-Benz,A250,used,Automatic,2.0,107500.0,83800.0
314,2021,nan,,used,Automatic,2.8,12500.0,308000.0
315,2022,nan,,used,Automatic,2.0,7500.0,178000.0
316,2021,nan,,used,Automatic,2.8,7500.0,308000.0
317,2022,nan,,used,Automatic,2.0,2500.0,188000.0
318,2021,nan,,used,Automatic,2.0,17500.0,298000.0
319,2022,nan,,used,Automatic,2.0,2500.0,178000.0
320,2021,Toyota,Alphard,used,Automatic,2.5,12500.0,285000.0
321,2014,Perodua,Myvi,used,Manual,1.3,77500.0,16800.0
